symbol,ebit,market_cap,earnings_yield
RELIANCE.NS,1302860000000.0,20854700244992,0.062473206744501915
INFY.NS,4496000000.0,6754358788096,0.0006656442367147906
TCS.NS,661270000000.0,12269599588352,0.05389499430998294
