symbol,ebit,market_cap,capital_employed,earnings_yield,roc,ey_rank,roc_rank,magic_formula_score
TCS.NS,661270000000,12269599588352,1066280000000,0.05389499430998294,0.6201654349701767,2.0,1.0,3.0
RELIANCE.NS,1302860000000,20854700244992,14963840000000,0.062473206744501915,0.08706722338651042,1.0,3.0,4.0
INFY.NS,4496000000,6754358788096,12407000000,0.0006656442367147906,0.36237607802047234,3.0,2.0,5.0
